Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
1,False_Killer_whale,Pseudorca crassidens,14.97094375,71.820102,,2003-2007,Afsal et al 2008,,False_Killer_whale,Publication
2,False_Killer_whale,Pseudorca crassidens,12.96791575,72.55335332,,2003-2007,Afsal et al 2008,,False_Killer_whale,Publication
3,False_Killer_whale,Pseudorca crassidens,15.66842672,83.17655544,,2003-2007,Afsal et al 2008,,False_Killer_whale,Publication
4,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,18.01796069,71.88269662,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
5,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,11.79426652,73.92149299,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
6,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,12.50516262,74.73075207,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
7,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,13.01933276,74.64580222,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
8,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,12.07594233,74.60556282,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
9,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,11.66460623,75.03925415,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
10,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,11.17726236,75.08843564,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
11,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,10.60943969,75.95134726,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
12,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,8.038589004,72.53994019,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
13,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,8.043060049,77.11381888,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
14,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,8.829963909,76.12571801,,2003-2007,Afsal et al 2008,,Bottlenose_dolphin,Publication
